,index,id,Text,Annotation,oh_label,correct_text
57,5.75972394487038E+017,5.75972394487038E+017,kat is one nasty bitch,sexism,1.0,at one nasty bitch
58,5.66983615834124E+017,5.66983615834124E+017,watan71969 you are a total liar just like your prophet un dont burn people alive,racism,1.0,watan71969 total liar like prophet un dont burn people alive
59,5.6422434496068E+017,5.6422434496068E+017,show me some of them people and slavery leftist moral are stupid,none,0.0,show people slavery dentist moral stupid
60,5.76041840975094E+017,5.76041840975094E+017,since when did give a about science go sell your their wild,none,0.0,since give science go sell wild
61,5.75805041665245E+017,5.75805041665245E+017,that their goal,sexism,1.0,goal
62,5.75597365312119E+017,5.75597365312119E+017,robertkirby538 kat and up both oxygen,none,0.0,robertkirby538 at oxygen
63,5.75959051747496E+017,5.75959051747496E+017,ash and,none,0.0,ash
64,5.63383421787861E+017,5.63383421787861E+017,my favorite part of this trip to be all the amazing new,none,0.0,favorite part trip may new
65,5.74932991501164E+017,5.74932991501164E+017,rudd1971 both and militia are driven by a religion of hatred and bigotry and there will be no freedom in regardless,racism,1.0,rudd1971 militia driven religion hair bigotri freedom regardless
66,5.75596502568956E+017,5.75596502568956E+017,kat and did not deserve to get through,none,0.0,at desert get
67,5.67893100066136E+017,5.67893100066136E+017,shaner38 just my now in my as proof if it comes true i knew rig the draft so the could get seth,sexism,1.0,shaner38 proof come true knew fig draft could get set
68,5.72333564043252E+017,5.72333564043252E+017,who should stay and who should go,none,0.0,stay go
69,5.66812527548699E+017,5.66812527548699E+017,real,sexism,1.0,real
70,5.63752115739177E+017,5.63752115739177E+017,what i learned from,sexism,1.0,learn
71,5.68833027402441E+017,5.68833027402441E+017,dianh4 if the world ever produced anything but and we would support them,racism,1.0,diana world ever produce any would support
72,5.63880713565372E+017,5.63880713565372E+017,,none,0.0,
73,5.60215880693727E+017,5.60215880693727E+017,mt89 thegags29 the world we live in,none,0.0,mt thegags29 world live
74,5.71357497417556E+017,5.71357497417556E+017,dianh4 doesnt answer anything it to answer with illogical and delusional superstition,racism,1.0,diana doesn answer any answer ill delusion superstit
75,5.72347911675068E+017,5.72347911675068E+017,why do look when they announce the final score will be revealed at a different location havent they watched before,none,0.0,look announce final score reveal differ local haven watch
76,5.72349153478488E+017,5.72349153478488E+017,how would poor and tony feel losing to who couscous used tinned packet capsicum and packet,none,0.0,would poor tone feel lose moscou use tin packet capsicum packet
77,5.74420645137666E+017,5.74420645137666E+017,us giving and ice cream and candy,none,0.0,us give ice cream candid
78,5.72331849625698E+017,5.72331849625698E+017,and tony are going home theyre too mkr2015,none,0.0,tone go home they mkr2015
79,5.74792941358608E+017,5.74792941358608E+017,you should be everyone that a religious cult of and murder like,racism,1.0,everyone relief cult murder like
80,5.55198493888094E+017,5.55198493888094E+017,ironmanl1 here are a whole bunch of your little,none,0.0,ironmanl1 whole bunch little
81,4.60819646271062E+017,4.60819646271062E+017,girl sports it away here lm26lyeera i dont even understand why girl sports are,sexism,1.0,girl sport away lm26lyeera dont even understand girl sport
82,5.6552983362381E+017,5.6552983362381E+017,this ethical journalism it never a reliable source lt3,none,0.0,ethics journal never reliable source ltd
83,4.70393822296277E+017,4.70393822296277E+017,because i made sure i wasnt alone and had multiple before firing a male colleague,none,0.0,made sure want along multiple fire male colleague
84,5.74301435782808E+017,5.74301435782808E+017,logicalmind11 you are the liar he men in one day and sold their and into slavery,racism,1.0,logicalmind11 liar men one day sold slavery
85,5.63426095030993E+017,5.63426095030993E+017,i latest conspiracy theory and as its full of and nonsense,none,0.0,latest conspiracy theory full nonsense
86,5.73244067867333E+017,5.73244067867333E+017,can you follow for a,none,0.0,follow
87,5.641225963298E+017,5.641225963298E+017,military on if they threaten strategic shipping lane,none,0.0,military threaten strategy ship lane
88,5.76470520247489E+017,5.76470520247489E+017,,none,0.0,
89,4.26105940383764E+017,4.26105940383764E+017,not but make me sick in how they go about fighting for equality sorry,sexism,1.0,make sick go fight equal sorry
90,5.63234508611138E+017,5.63234508611138E+017,the difficulty is finding time to find those allies while out what to do with the got,none,0.0,difficult find time find all got
91,5.64213138175054E+017,5.64213138175054E+017,in the film a rapist that does not know what the is and the protagonist,sexism,1.0,film rapid know protagonist
92,5.75063128364315E+017,5.75063128364315E+017,kaya786 fai3anh is not a race it is a death cult,racism,1.0,kaya786 fai3anh race death cult
93,5.73210316621783E+017,5.73210316621783E+017,0xabad1dea but is generally a terrible place to buy any clothing other than,none,0.0,0xabad1dea genet terrible place buy cloth
94,5.6030019539764E+017,5.6030019539764E+017,98halima rfrankh53 the are the the barbarity of,racism,1.0,98halima rfrankh53 barbara
95,5.75098427152839E+017,5.75098427152839E+017,used to live on of peninsula who is genocide against who,racism,1.0,use live peninsula glenoid
96,5.71725345637839E+017,5.71725345637839E+017,this might be my favorite tweet by rogue ever because he my twitter handle is my login,none,0.0,might favorite sweet rogue ever twitter hand login
97,5.70810830658216E+017,5.70810830658216E+017,wow by balancing an artist peace watch,none,0.0,now balance artist peace watch
98,5.76771677276635E+017,5.76771677276635E+017,good morning off in danger donttreadonme65,racism,1.0,good more danger donttreadonme65
99,5.72326833775116E+017,5.72326833775116E+017,and need to be from,none,0.0,need
100,5.64226968678183E+017,5.64226968678183E+017,p8952 mjg59 the fact that twitter it easier to interact with those not connected to may have more to do with this,none,0.0,p8952 mjg59 fact twitter easier interact connect may
101,5.76611907018236E+017,5.76611907018236E+017,the religion of is built on apartheid and ethnic cleansing,racism,1.0,religion built apartheid ethnic clean
102,5.59523492081574E+017,5.59523492081574E+017,yesterday a fan posted a pic of an a10 with one engine blown off did it i found the pic it from,none,0.0,yesterday fan post pick and one engine blown found pick
103,5.75596572244775E+017,5.75596572244775E+017,weve just said to another team are you happy with elimination result,none,0.0,were said not team happy limit result
104,5.66446882059477E+017,5.66446882059477E+017,a hard time right now its probably but this is the come to making my kind,none,0.0,hard time right probably come make kind
105,5.64585379148222E+017,5.64585379148222E+017,i love those too much too much,none,0.0,love much much
106,5.72334824226099E+017,5.72334824226099E+017,this is total i dont know if i can stand of the of off,sexism,1.0,total dont know stand
107,5.65225613812711E+017,5.65225613812711E+017,trying to stop people with lie of thy have hit near are,racism,1.0,try stop people lie the hit near
108,5.75483632871039E+017,5.75483632871039E+017,harmlesstree2 here2,none,0.0,harmlesstree2 here
109,5.75954406274949E+017,5.75954406274949E+017,should have been married to i think theyre a perfect annoying couple,sexism,1.0,marry think they perfect annoy couple
110,5.64886152163758E+017,5.64886152163758E+017,oh look and to borrow a term from the playbook stopwadhwa2015,none,0.0,oh look borrow term playbook stopwadhwa2015
111,4.95679904097526E+017,4.95679904097526E+017,test not but will not be taken seriously if we have becomes president,sexism,1.0,test taken serious become preside
112,5.6939589377606E+017,5.6939589377606E+017,emotional terrorism,sexism,1.0,mot terror
113,5.75948307756884E+017,5.75948307756884E+017,why do i think really still no idea where she is or whats doing there,none,0.0,think really still idea what
114,5.69625666582217E+017,5.69625666582217E+017,sometimes p i try,none,0.0,sometime p try
115,5.72335493775405E+017,5.72335493775405E+017,so which one do u want to do colin as for more like,none,0.0,one u want coin like
116,5.75596037663908E+017,5.75596037663908E+017,the pink chick a bad snaggletooth dont,none,0.0,pink thick bad snaggletooth dont
117,5.75954813780763E+017,5.75954813780763E+017,i vote for cook off,sexism,1.0,vote cook
118,4.32289553659855E+017,4.32289553659855E+017,call me but of cannot drive man and of read this and said not me in head,sexism,1.0,call cannot drive man read said head
119,5.72347423470694E+017,5.72347423470694E+017,i score them a and thats generous,none,0.0,score that genet
120,3.96281810025329E+017,3.96281810025329E+017,areyessss21 should not i repeat should not participate in no shave,sexism,1.0,areyessss21 repeat particle shave
121,5.68914273507746E+017,5.68914273507746E+017,sometimes i feel i need to remind people that being nostalgic for your childhood universal,none,0.0,sometime feel need remind people postal childhood univers
122,4.26966514353181E+017,4.26966514353181E+017,grow myself some or put on a slightly foreign accent then i might get a job,sexism,1.0,grow put slightly foreign accent might get job
123,5.72335767000777E+017,5.72335767000777E+017,thinking will go past eve and get into at this rate,none,0.0,think go past eve get rate
124,5.61713582669197E+017,5.61713582669197E+017,because of was before,none,0.0,
125,5.76711098105258E+017,5.76711098105258E+017,thunderf00t gold,none,0.0,thunderf00t gold
126,5.72354300564783E+017,5.72354300564783E+017,sales88194029 colin the meat in the thigh was moist tender are you talking about the main dish or,sexism,1.0,sales88194029 coin meat thigh moist tender talk main dish
127,5.5441528698871E+017,5.5441528698871E+017,i choose to define it by the and its and most are,racism,1.0,choose define
128,5.76471587882431E+017,5.76471587882431E+017,please,none,0.0,pleas
129,5.70833414099595E+017,5.70833414099595E+017,to be clear not this up to defend aware that fully capable of herself,none,0.0,clear defend war full capable
130,5.58004829516493E+017,5.58004829516493E+017,like this,none,0.0,like
131,5.71396539613995E+017,5.71396539613995E+017,i write to block it p,none,0.0,write block p
132,5.67078833950437E+017,5.67078833950437E+017,who if it been a million times what does that have to do with the barbarity of,racism,1.0,million time barbara
133,5.74845681988305E+017,5.74845681988305E+017,eh i knew shed take credit for me my old work account but i cant really let affect my life lt3,none,0.0,eh knew shed take credit old work account can really let affect life ltd
134,5.33340866392633E+017,5.33340866392633E+017,how come when hit its not child abuse,none,0.0,come hit child abuse
135,5.66314756861362E+017,5.66314756861362E+017,why are so mad at maybe instead of calling them crazy and dramatic you ask them stopwadhwa2015,none,0.0,mad may instead call crazy drama ask stopwadhwa2015
136,5.75604334743835E+017,5.75604334743835E+017,i am so glad those annoying blonde got off,sexism,1.0,glad annoy blood got
137,5.04676820214907E+017,5.04676820214907E+017,bingo complete from my alone,none,0.0,lingo complete along
138,4.46623648107884E+017,4.46623648107884E+017,maybe so but still right,sexism,1.0,may still right
139,5.7559726474949E+017,5.7559726474949E+017,how did that just happen it was clear they better food seriously,none,0.0,happen clear better food serious
140,5.7491309401661E+017,5.7491309401661E+017,had people who disagreed with him he he married a year old he,racism,1.0,people disagree marry year old
141,5.67047758507291E+017,5.67047758507291E+017,at this point id be happy with just wrecking in random havent done in,none,0.0,point id happy wreck random haven done
142,5.70816995135873E+017,5.70816995135873E+017,sorry not into gruesome,none,0.0,sorry gruesome
143,5.72605017879794E+017,5.72605017879794E+017,i thought about one of the on top but then its too high for me to easily see,none,0.0,thought one top high vasili see
144,5.55151606019133E+017,5.55151606019133E+017,salon salon to shut down free speech and shut people up by a race card about an,racism,1.0,salon salon shut free speech shut people race card
145,5.69908821688082E+017,5.69908821688082E+017,everyone should be jealous of my coffee maker our love is pure,none,0.0,everyone jealous coffee maker love pure
146,5.63512592899912E+017,5.63512592899912E+017,obsurfer84 teenage let people read the and see that it comes from hate,racism,1.0,obsurfer84 teenage let people read see come hate
147,5.72337509159453E+017,5.72337509159453E+017,mkr2015 why do they keep saying that they are so pretty,sexism,1.0,mkr2015 keep say pretty
148,5.75641804990603E+017,5.75641804990603E+017,i hate kat and its a cooking competition stop voting strategically you soggy,none,0.0,hate at cook competent stop vote strategy song
149,5.72969595155309E+017,5.72969595155309E+017,i u,none,0.0,u
150,5.66317313616396E+017,5.66317313616396E+017,we didnt overturn in either place the people did and the people have that right as long as they elect new,none,0.0,didn overturn either place people people right long elect new
151,5.75970604664418E+017,5.75970604664418E+017,so sick of kat n scraping through by their teeth kick them off the show,none,0.0,sick at n scrape teeth kick show
152,5.59750862684164E+017,5.59750862684164E+017,when made into genocide against and slavery they wrote their own obituary,none,0.0,made glenoid slavery wrote obituari
153,5.72332032862237E+017,5.72332032862237E+017,call me crazy but i like my food i wouldnt pay for a build it yourself dessert,none,0.0,call crazy like food wouldn pay build dessert
154,5.66042436007637E+017,5.66042436007637E+017,gamer456ism,none,0.0,gamer456
155,5.75598119720653E+017,5.75598119720653E+017,happy to watch my last episode of over it,none,0.0,happy watch last episode
156,5.68560722159907E+017,5.68560722159907E+017,kellyturner99 fei989 your own must be and,none,0.0,kellyturner99 fei989 must
157,5.756019851996E+017,5.756019851996E+017,i would vote a to make sure kat and go home you know strategic voting,none,0.0,would vote make sure at go home know strategy vote
158,5.29703145321292E+017,5.29703145321292E+017,the can be a joke but theres some value in voting anyway drag your apathetic to the please we need high turnout,none,0.0,joke there value vote anyway drag apathy pleas need high trout
159,4.808501644211E+017,4.808501644211E+017,and not are too,none,0.0,
160,5.69953538178036E+017,5.69953538178036E+017,searching her name and people that talk to her thats a bit,none,0.0,search name people talk that bit
161,5.74937211566608E+017,5.74937211566608E+017,rudd1971 true but is corrupt from the beginning,racism,1.0,rudd1971 true corrupt begin
162,5.72329123604898E+017,5.72329123604898E+017,its not the only thing done a lot of guessing,sexism,1.0,thing done lot guess
163,5.65103820611387E+017,5.65103820611387E+017,erikssonmalin85 why is a man afraid to commit to woman he really divorce will ruin his life,sexism,1.0,erikssonmalin85 man afraid commit woman really divorce ruin life
164,5.75956558393127E+017,5.75956558393127E+017,i wish they went to death row instead of sudden death,none,0.0,wish went death row instead sudden death
165,5.24697112576278E+017,5.24697112576278E+017,because was a character to appease people in a pathetic way and didnt add depth or any,sexism,1.0,character appear people father way didn add depth
166,5.25080857187717E+017,5.25080857187717E+017,do lack depth of analysis 17snelson i dont want to listen to a girl announcer when watching the game sorry,sexism,1.0,lack depth analysis 17snelson dont want listen girl announce watch game sorry
167,5.62251268190507E+017,5.62251268190507E+017,so dont feed me your little piece of,racism,1.0,dont feed little piece
168,5.74995876625584E+017,5.74995876625584E+017,but the five professional many of them do know for some it is their first language,none,0.0,five profession man know first language
169,5.69612068136964E+017,5.69612068136964E+017,now that person been on 8chan and despite this being the person who posted my home address suddenly he a problem,none,0.0,person than despite person post home address suddenly problem
170,5.75953916581413E+017,5.75953916581413E+017,really a pony how can it fit in there,none,0.0,really pond fit
171,5.64672115966628E+017,5.64672115966628E+017,i was talking to twitter about it a few ago about it here a month ago p,none,0.0,talk twitter ago month ago p
172,5.75954255938363E+017,5.75954255938363E+017,kat there are going to be a lot of next to our dish man i dont like it,none,0.0,at go lot next dish man dont like
173,5.01873885873467E+017,5.01873885873467E+017,another social justice are all literally sa 4chan and most other,none,0.0,not social justice later sa than
174,5.72328669428892E+017,5.72328669428892E+017,when her get sore she another way to get the job done,sexism,1.0,get sore not way get job done
175,4.51161795231625E+017,4.51161795231625E+017,call me but sports are boring unless theyre wearing something short tight and theyre around,sexism,1.0,call sport bore unless they wear cometh short tight they around
176,5.72327609398272E+017,5.72327609398272E+017,everything is theyre no good at then,sexism,1.0,every they good
177,5.7003992301464E+017,5.7003992301464E+017,kellyturner99 in that warp where political correctness reality it a lot of compartmentalization,none,0.0,kellyturner99 warp polite correct reality lot compartment
178,5.40261263033782E+017,5.40261263033782E+017,cause you are just as wrong as them but want at the end of the day no but not for,sexism,1.0,cause wrong want end day
179,5.7661373828488E+017,5.7661373828488E+017,,none,0.0,
180,5.723306535528E+017,5.723306535528E+017,this boy at uncomfortable,none,0.0,boy comfort
181,5.68822167988601E+017,5.68822167988601E+017,well then,none,0.0,well
182,5.37241636468953E+017,5.37241636468953E+017,so my belief that all people should be equal in all of life a valid opinion,none,0.0,belief people equal life valid opinion
183,4.70394352548594E+017,4.70394352548594E+017,because when the delivery man for my office when i was a 20something sexually me he was not fired,none,0.0,deliver man office 20someth sexual fire
184,5.64635330230243E+017,5.64635330230243E+017,situation report the contest for the main area of district,none,0.0,situate report contest main area district
185,5.75611677665858E+017,5.75611677665858E+017,kat and dont deserve it hope they destroy them in the group,none,0.0,at dont desert hope destroy group
186,5.6047064679934E+017,5.6047064679934E+017,i dont have a problem with a one for one exchange,none,0.0,dont problem one one exchange
187,5.63085860078629E+017,5.63085860078629E+017,take heed alone in the world in your campaign of hate people will stand up to you men and will stand up to you,none,0.0,take heed along world campaign hate people stand men stand
188,5.39986050836595E+017,5.39986050836595E+017,saying bye to a racist white woman is probably a top moment of my twitter,none,0.0,say bye racism white woman probably top moment twitter
189,5.74461145433539E+017,5.74461145433539E+017,that was my intention p,none,0.0,intent p
190,5.52936317105881E+017,5.52936317105881E+017,disagree with are you blind to the physical dimension,none,0.0,disagree blind physics times
191,4.32288923016913E+017,4.32288923016913E+017,not but are a bigger joke than the,sexism,1.0,bigger joke
192,5.76600403116057E+017,5.76600403116057E+017,article on welfare to plot the demise,racism,1.0,article welfare plot denis
193,5.66252388529762E+017,5.66252388529762E+017,you mean it shouldnt be because it is consent to parenthood for men today,sexism,1.0,mean shouldn consent parenthood men today
194,4.33410755384193E+017,4.33410755384193E+017,videogame554 i guess no one this entire comment thread,none,0.0,videogame554 guess one enter comment thread
195,5.67359402546434E+017,5.67359402546434E+017,curious as to if the style guide anything about that,none,0.0,curious style guide any
196,5.73282600300622E+017,5.73282600300622E+017,harper i dont like the,none,0.0,harper dont like
197,5.76005588078895E+017,5.76005588078895E+017,thats they have to keep her in for her mouth yet their food was again,none,0.0,that keep mouth yet food
198,5.76609039913632E+017,5.76609039913632E+017,just doesnt do text i know article is a bit old but to throw that out there,none,0.0,doesn text know article bit old throw
199,5.75597134130508E+017,5.75597134130508E+017,not watching this show now that kat and are through pathetic people with no dignity whatsoever,none,0.0,watch show at father people dignity whatsoever
200,5.72339047151977E+017,5.72339047151977E+017,these are,none,0.0,
201,5.63066034908054E+017,5.63066034908054E+017,this to men all the time men have no reproductive whatsoever,sexism,1.0,men time men reproduce whatsoever
202,5.68273704192311E+017,5.68273704192311E+017,thats absurd,none,0.0,that absurd
203,5.51941596288004E+017,5.51941596288004E+017,president told his son to dispose of some million in cash v,none,0.0,preside told son dispose million cash v
204,5.47977433706947E+017,5.47977433706947E+017,does anyone here have extended family that doesnt infuriate and distress them i envy you,none,0.0,anyone extend family doesn injury distress envy
205,5.58125047089734E+017,5.58125047089734E+017,or they bought it from hobby lobby and cant figure out how it goes together,none,0.0,bought hobby lobby can figure go together
206,5.64572361794798E+017,5.64572361794798E+017,oh darn you cant shoot,none,0.0,oh dark can shoot
207,5.75481188552331E+017,5.75481188552331E+017,harmlesstree2 only an idiot that doesnt history would say have never studied the barbarity of the during that entire time,racism,1.0,harmlesstree2 idiot doesn history would say never study barbara enter time
208,5.66984496050762E+017,5.66984496050762E+017,that the entire narrative was by propaganda,none,0.0,enter parr propaganda
209,5.75626540261708E+017,5.75626540261708E+017,chicken liver is a choice,none,0.0,chicken liver choice
210,5.75315695719748E+017,5.75315695719748E+017,number10gov by all send the back to the middle east before they turn into the same sewer,racism,1.0,number10gov send back middle east turn fewer
211,5.75686201488712E+017,5.75686201488712E+017,assiye61,none,0.0,assiye61
212,5.73402677532492E+017,5.73402677532492E+017,its just a lot more experience with and dont let the bite,none,0.0,lot expert dont let bite
213,5.72332372596683E+017,5.72332372596683E+017,oh shut your gob will its hardly a surprise,none,0.0,oh shut go hardly surprise
214,5.74772748599173E+017,5.74772748599173E+017,loveallah01 first wife was a wealthy woman before so you are lying,racism,1.0,loveallah01 first wife wealth woman lie
215,4.62689266108088E+017,4.62689266108088E+017,yes because i was the rude one tommyward15 i will sock your in her uterus if you ever talk to me like that again,sexism,1.0,ye rude one tommyward15 sock uterus ever talk like
216,5.76635217483465E+017,5.76635217483465E+017,what does that have to do with extermination of,racism,1.0,extermin
217,5.68098924709351E+017,5.68098924709351E+017,joannapage784 are being subjected to brutal abnormal sex after marrying,racism,1.0,joannapage784 subject brutal abnormal sex marry
218,5.72337062214422E+017,5.72337062214422E+017,the glasses guy is thoroughly annoying,none,0.0,glass guy thoroughly annoy
219,5.62767280736829E+017,5.62767280736829E+017,i take a nap and cant play video,none,0.0,take nap can play video
220,5.66770040620728E+017,5.66770040620728E+017,like thanks for that i never would have known had not so many people on twitter it at me,none,0.0,like thank never would known man people twitter
221,5.74972169416876E+017,5.74972169416876E+017,what does your say,none,0.0,say
222,5.75596585754591E+017,5.75596585754591E+017,with so many going cant who are some of these,none,0.0,man go can
223,5.68300748125024E+017,5.68300748125024E+017,scholastic dear mary and we can relate snow,none,0.0,scholar dear mary relate snow
224,5.75596912285385E+017,5.75596912285385E+017,kat,none,0.0,at
225,5.67087278368256E+017,5.67087278368256E+017,sports2inflatio this is how feminism use young to do their dirty job,sexism,1.0,sports2inflatio remain use young dirty job
226,5.75599589463474E+017,5.75599589463474E+017,suekennedy19 sam1985 notice we didnt see kat and in any of those cut,none,0.0,suekennedy19 sam1985 notice didn see at cut
227,5.70026799389762E+017,5.70026799389762E+017,kellyturner99 where did you get that fantasy from,none,0.0,kellyturner99 get fantasy
228,5.76125745824686E+017,5.76125745824686E+017,turning on pair kat and for their desperate strategic scoring,none,0.0,turn pair at deeper strategy score
229,5.7357791314183E+017,5.7357791314183E+017,who on an exam,none,0.0,exam
230,5.75596220036555E+017,5.75596220036555E+017,,none,0.0,
231,5.70105655886946E+017,5.70105655886946E+017,the rule of the apple to adapter is that you will never be able to find it when you finally need it,none,0.0,rule apply adapt never all find final need
